ZIP Code,ZIP Code Tabulation Area (ZCTA) Map,ZCTA UNS (/5),ZCTA UNS,Population Size,State,All-Cause Mortality,Associate Degree or Higher,Asthma,Below 200% Federal Poverty Level,Below Poverty Level,Broadband Access,Cervical,Chlamydia,Diphtheria Tetanus Pertussis 3 Dose (DTP3) Coverage,Dental Visit,Diabetes,Drug Mortality,Foreign Born,Health Center Penetration,Health Center Penetration Total Population,Housing Stress,Life Expectancy,Healthy Food,Linguistic Isolation,Low Birthweight,No High School Diploma,No High School Diploma Age 25+,Vehicle Access,Non White,Obesity,Pap Smear Screening,Poor Mental Health,Poor Physical Health,Preterm Births,Preventable Hospital Stays,Single-Parent Household,Smoking,Under 5 Mortality,Unemployment,Uninsured,Violent Crime,All-Cause Mortality (Percentile),Associate Degree or Higher (Percentile),Asthma (Percentile),Below 200% Federal Poverty Level (Percentile),Below Poverty Level (Percentile),Broadband Access (Percentile),Cervical (Percentile),Chlamydia (Percentile),Diphtheria Tetanus Pertussis 3 Dose (DTP3) Coverage (Percentile),Dental Visit (Percentile),Diabetes (Percentile),Drug Mortality,Foreign Born (Percentile),Health Center Penetration (Percentile),Health Center Penetration Total Population (Percentile),Housing Stress (Percentile),Life Expectancy (Percentile),Healthy Food (Percentile),Linguistic Isolation (Percentile),Low Birthweight (Percentile),No High School Diploma (Percentile),No High School Diploma Age 25+ (Percentile),Vehicle Access,Non White (Percentile),Obesity (Percentile),Pap Smear Screening (Percentile),Poor Mental Health (Percentile),Poor Physical Health (Percentile),Preterm Births (Percentile),Preventable Hospital Stays (Percentile),Single-Parent Household (Percentile),Smoking (Percentile),Under 5 Mortality (Percentile),Unemployment (Percentile),Uninsured (Percentile),Violent Crime (Percentile),
36204,36201,20,97.72,17335,AL,1050.00,0.11,12.29,0.55,0.28,0.66,79.42,545.00,91.20,43.40,18.46,28.18,0.06,0.13,0.07,0.24,73.61,0.26,0.20,0.10,0.22,0.23,0.15,-0.26,45.15,77.54,21.68,18.47,0.11,3571,0.59,27.84,8.51,10.20,0.19,756.07,94.41,93.84,94.04,90.42,91.34,89.70,79.82,76.58,43.01,97.52,97.67,49.67,78.44,62.93,44.68,50.82,95.04,91.08,32.48,94.87,88.91,89.83,92.78,95.22,96.56,71.15,96.43,97.40,76.65,85.88,95.05,96.59,91.96,88.77,91.46,96.71,
30125,30125,19,93.11,23173,GA,910.00,0.21,10.69,0.46,0.23,0.81,79.17,413.83,88.70,49.29,13.53,42.09,0.04,0.11,0.05,0.31,73.74,0.29,9.40,0.11,0.20,0.20,0.07,-0.03,37.56,74.97,18.58,15.14,0.11,4098.15,0.30,20.95,7.40,6.60,0.20,564.98,81.70,79.06,62.15,82.15,85.57,62.67,81.76,62.32,71.59,90.91,78.62,79.57,83.92,65.43,50.83,75.53,94.54,93.52,88.46,94.88,85.70,85.46,71.30,82.96,58.00,87.28,81.35,82.85,82.75,94.10,73.83,73.59,75.06,73.02,93.10,89.48,
30138,30125,19,93.11,23173,GA,910.00,0.21,10.69,0.46,0.23,0.81,79.17,413.83,88.70,49.29,13.53,42.09,0.04,0.11,0.05,0.31,73.74,0.29,9.40,0.11,0.20,0.20,0.07,-0.03,37.56,74.97,18.58,15.14,0.11,4098.15,0.30,20.95,7.40,6.60,0.20,564.98,81.70,79.06,62.15,82.15,85.57,62.67,81.76,62.32,71.59,90.91,78.62,79.57,83.92,65.43,50.83,75.53,94.54,93.52,88.46,94.88,85.70,85.46,71.30,82.96,58.00,87.28,81.35,82.85,82.75,94.10,73.83,73.59,75.06,73.02,93.10,89.48,
30240,30240,17,83.71,30546,GA,910.00,0.37,10.71,0.38,0.18,0.85,81.58,849.04,88.70,57.16,13.33,25.77,0.12,0.01,0,0.35,75.46,0.13,1.40,0.11,0.11,0.10,0.10,-0.03,42.32,75.36,17.52,13.63,0.12,4093.98,0.35,18.58,7.40,4.70,0.10,332.14,81.70,38.03,63.92,67.93,75.90,48.34,57.05,94.63,71.59,70.87,76.94,42.61,56.70,84.20,81.18,85.45,84.20,70.84,54.77,94.88,59.84,54.74,84.81,83.13,89.21,84.89,70.49,67.79,92.99,94.06,81.02,56.20,75.06,54.80,69.09,66.43,
36206,36206,16,80.39,10940,AL,1020.00,0.27,10.72,0.40,0.14,0.85,81.98,545.00,91.20,56.01,12.75,28.18,0.09,0.10,0.04,0.19,73.61,0.21,2.40,0.10,0.15,0.15,0.05,-0.05,38.53,81.26,18.38,13.97,0.10,3571,0.34,20.13,8.51,9.00,0.12,756.07,92.41,64.48,64.23,72.04,65.01,48.91,51.70,76.58,43.01,74.61,71.13,49.67,66.57,68.37,57.32,21.95,95.04,86.48,64.93,94.87,74.20,75.32,58.94,84.65,66.33,18.96,79.56,71.36,67.84,85.88,80.66,68.08,91.96,85.41,78.03,96.71,
36207,36207,12,61.25,18803,AL,1060.00,0.39,10.32,0.28,0.10,0.86,83.24,545.00,91.20,59.02,13.24,28.18,0.17,0.10,0.03,0.21,73.61,0.15,0.50,0.10,0.08,0.08,0.03,0.05,37.67,81.98,16.97,13.56,0.10,3571,0.16,18.14,8.51,4.50,0.10,756.07,94.89,34.45,49.56,46.66,46.70,42.59,33.93,76.58,43.01,64.38,76.03,49.67,34.71,66.88,61.95,34.65,95.04,76.54,39.64,94.87,45.21,44.59,36.86,63.68,58.89,12.94,62.78,66.84,59.22,85.88,42.53,52.45,91.96,52.49,71.17,96.71,
36254,36207,12,61.25,18803,AL,1060.00,0.39,10.32,0.28,0.10,0.86,83.24,545.00,91.20,59.02,13.24,28.18,0.17,0.10,0.03,0.21,73.61,0.15,0.50,0.10,0.08,0.08,0.03,0.05,37.67,81.98,16.97,13.56,0.10,3571,0.16,18.14,8.51,4.50,0.10,756.07,94.89,34.45,49.56,46.66,46.70,42.59,33.93,76.58,43.01,64.38,76.03,49.67,34.71,66.88,61.95,34.65,95.04,76.54,39.64,94.87,45.21,44.59,36.86,63.68,58.89,12.94,62.78,66.84,59.22,85.88,42.53,52.45,91.96,52.49,71.17,96.71,
36257,36207,12,61.25,18803,AL,1060.00,0.39,10.32,0.28,0.10,0.86,83.24,545.00,91.20,59.02,13.24,28.18,0.17,0.10,0.03,0.21,73.61,0.15,0.50,0.10,0.08,0.08,0.03,0.05,37.67,81.98,16.97,13.56,0.10,3571,0.16,18.14,8.51,4.50,0.10,756.07,94.89,34.45,49.56,46.66,46.70,42.59,33.93,76.58,43.01,64.38,76.03,49.67,34.71,66.88,61.95,34.65,95.04,76.54,39.64,94.87,45.21,44.59,36.86,63.68,58.89,12.94,62.78,66.84,59.22,85.88,42.53,52.45,91.96,52.49,71.17,96.71,
36253,36260,16,79.80,4346,AL,1030.00,0.31,10.90,0.44,0.14,0.78,81.73,569.59,91.20,54.49,13.48,26.02,0.09,0.05,0.02,0.24,73.71,0.24,0,0.10,0.17,0.16,0.04,0.02,39.99,81.93,19.59,15.18,0.11,3465.56,0.28,22.96,8.51,5.40,0.07,661.04,93.26,53.05,69.32,79.64,62.82,71.51,54.95,78.90,43.01,79.13,78.13,43.16,69.80,77.70,67.21,52.42,94.64,89.43,14.63,94.87,79.94,77.84,55.67,70.06,76.96,13.28,88.90,83.10,71.79,82.57,70.67,84.68,91.96,62.41,51.67,94.60,
36260,36260,16,79.80,4346,AL,1030.00,0.31,10.90,0.44,0.14,0.78,81.73,569.59,91.20,54.49,13.48,26.02,0.09,0.05,0.02,0.24,73.71,0.24,0,0.10,0.17,0.16,0.04,0.02,39.99,81.93,19.59,15.18,0.11,3465.56,0.28,22.96,8.51,5.40,0.07,661.04,93.26,53.05,69.32,79.64,62.82,71.51,54.95,78.90,43.01,79.13,78.13,43.16,69.80,77.70,67.21,52.42,94.64,89.43,14.63,94.87,79.94,77.84,55.67,70.06,76.96,13.28,88.90,83.10,71.79,82.57,70.67,84.68,91.96,62.41,51.67,94.60,
